Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
55000	89	85	0	5	2	0	0	126522	9	0	0	73796	6	87605	0	137724	3	146490	0	187660	63527
55250	186	86	0	2	8	0	0	180305	101	0	0	86950	6	82246	0	141423	7	148104	0	197890	56831
55500	99	88	0	5	0	4	0	129350	6	3	0	101350	0	71004	0	150608	7	147375	0	216658	55538
55750	100	85	2	0	0	0	0	144350	9	0	0	103017	0	72054	1	270612	1	174035	0	176511	65502
56000	100	67	0	98	89	0	0	136982	9	0	0	121829	89	74217	0	280065	24	204531	0	164269	65947
56250	146	89	0	8	6	1	0	171593	31	1	0	138015	24	77259	3	173788	7	192305	1	159216	62078
56500	128	324	0	8	1	0	1	161724	4	0	0	112460	2	83347	0	166957	27	190369	0	179827	75915
56750	244	87	0	1	0	0	0	290914	9	0	0	164990	0	78368	0	158251	7	168495	0	174170	64896
57000	137	80	0	0	0	0	0	355785	94	0	0	132342	0	88478	0	185510	49	150705	0	164631	61121
57250	139	86	0	5	1	0	0	347780	7	0	0	99315	1	89215	0	160244	0	187422	0	165357	57402
57500	150	85	0	0	0	0	0	152471	5	0	0	168033	0	94429	1	180803	7	161367	0	177501	61710
57750	128	90	0	1	0	0	0	381843	5	0	0	180918	0	105477	0	168104	1	178081	0	179979	114468
58000	130	93	1	95	87	4	1	427110	11	0	0	144445	97	87711	0	160948	7	178742	0	171249	134841
58250	218	113	0	2	0	0	0	181628	9	0	0	224006	0	86677	0	193959	0	146714	1	173145	82414
58500	125	99	0	2	5	6	4	176009	98	1	0	276610	2	98836	0	243803	29	153193	0	160502	71313
58750	164	109	0	0	0	0	0	170052	11	3	0	205162	0	105207	0	265428	7	148281	0	153383	63391
59000	158	103	0	3	0	2	0	181181	4	0	0	319903	0	157063	0	225120	0	153022	0	170601	69513
59250	199	120	0	4	0	7	0	156108	7	0	0	169119	2	179955	0	231208	18	152280	0	179565	69251
59500	188	133	0	0	2	43	1	189503	19	1	0	187880	0	135842	0	259397	1	152931	0	200708	63669
59750	260	121	0	0	0	0	0	181533	13	1	0	231354	0	127831	0	303894	1	151422	0	245579	82214
60000	172	116	0	90	90	0	0	307428	14	0	0	197114	92	124518	0	311569	9	150031	0	195739	77077
60250	166	120	0	7	0	0	0	269081	101	0	0	211802	3	129504	0	534270	1	153251	1	188925	67703
60500	175	135	0	1	1	0	0	266178	11	0	0	223280	0	210714	5	575400	9	159933	0	187595	66539
60750	175	141	0	1	0	0	0	280837	9	0	0	232144	0	163105	1	311380	27	154127	0	213031	67903
61000	156	134	0	0	0	0	0	211073	16	0	0	265333	0	166553	0	282802	0	202516	0	257983	71712
61250	240	143	0	0	0	3	1	207946	7	1	0	218117	3	159037	0	277623	7	166391	0	232970	77922
61500	137	135	0	0	0	0	0	269600	7	1	0	299959	0	149340	0	390969	2805	159840	0	227324	75241
61750	191	142	0	14	57	3	0	381748	56	0	0	285298	54	147656	0	336204	74	159317	3	222745	79082
62000	144	172	0	100	93	145	1	341691	96	1	0	213229	96	233856	0	394268	56	154743	0	237534	132863
62250	152	147	0	0	1	4	0	275221	9	3	0	269144	1	163227	1	466028	7	155444	1	243387	113767
62500	121	157	0	38	0	0	66	263474	6	0	0	245868	0	226551	0	361550	0	158818	0	212310	85469
62750	222	142	1	0	6	0	0	266790	8	0	0	300527	1	186645	0	531992	30	158087	0	251010	92593
63000	150	164	0	0	0	0	0	381255	10	1	0	318134	0	219151	0	395410	7	158530	0	247379	91342
63250	133	149	0	1	0	0	1	295144	14	0	0	307901	0	202320	0	354606	0	164259	0	257068	83818
63500	124	135	0	2	0	0	1	376874	98	1	0	268794	3	195279	0	369321	8	163364	0	255380	93087
63750	124	158	0	0	2	0	0	382716	4	0	0	279703	0	240521	1	331133	0	161613	0	268720	88364
64000	110	159	0	97	103	0	0	441223	13	0	0	350415	108	216049	0	320161	1	162471	0	308093	94867
64250	220	183	0	0	1	0	133	483615	7	5	0	308037	1	174574	2	359383	7	161640	0	251988	97804
64500	131	192	0	2	0	1	1	558413	14	0	0	351502	1	194654	193	547923	0	161369	0	248936	83664
64750	129	191	0	4	12	1	0	471054	13	0	0	377578	10	214436	1	431428	34	162514	1	253714	89266
65000	110	195	0	0	0	0	0	490447	12	0	0	360272	2	406129	0	428870	6	166822	0	301892	83102
65250	157	202	0	0	0	0	0	517723	136	0	0	338757	0	368401	0	436946	55	169563	0	290367	84965
65500	151	205	0	2	1	4	0	429297	8	224	0	339846	0	302069	0	479150	69	176721	0	307074	87102
65750	232	193	0	0	0	0	0	469812	6119	1	0	376773	0	265472	0	494535	0	178846	0	285647	90798
66000	146	175	0	97	91	3	0	581935	6	0	0	375968	107	275133	0	501584	0	186475	0	286933	90880
66250	148	168	0	0	0	0	0	434758	6	0	0	396985	0	289904	0	512290	8	168162	0	263462	92217
66500	172	171	0	2	0	0	5	426460	1	0	0	356755	0	291411	0	501663	0	177526	0	275541	95936
66750	151	180	0	0	3	0	0	463312	114	1	0	355631	5	310132	0	522123	37	185657	0	295713	99659
67000	183	179	0	0	1	4	0	555738	5	0	0	402922	7	299931	0	562692	50	175942	0	250185	95205
67250	179	178	0	0	0	0	0	522634	6	1	0	379660	8	361495	0	499918	0	173001	0	300261	101697
